Screen size,Screen type,Chip,RAM,ROM,Batery,OS,Screen resolution,Price,Mobile network,Camera count,Camera max MP
6.52,IPS LCD,mediatek helio,3072.0,32768.0,5000.0,android,1152000.0,3490,5.0,0,108.0
6.55,AMOLED,snapdragon,8192.0,131072.0,4250.0,android,2592000.0,8000,5.0,0,108.0
6.4,AMOLED,mediatek,6144.0,131072.0,5000.0,android,2592000.0,5150,5.0,0,108.0
6.49,IPS LCD,snapdragon,6144.0,131072.0,4300.0,android,2592000.0,5490,5.0,0,108.0
6.7,OLED,apple,6144.0,262144.0,2406.0,ios,3566952.0,29000,5.0,0,108.0
6.1,OLED,apple,6144.0,262144.0,2406.0,ios,2962440.0,26000,5.0,0,108.0
6.51,IPS LCD,mediatek helio,3072.0,32768.0,5000.0,android,1152000.0,2750,5.0,0,108.0
6.67,IPS LCD,snapdragon,6144.0,131072.0,5160.0,android,2592000.0,5700,5.0,0,108.0
6.6,IPS LCD,unisoc,4096.0,65536.0,5000.0,android,2600640.0,3990,5.0,0,108.0
6.1,OLED,apple,2048.0,262144.0,3095.0,ios,2962440.0,23950,5.0,0,108.0
6.67,AMOLED,snapdragon,8192.0,131072.0,5020.0,android,2592000.0,7300,5.0,0,108.0
6.5,IPS LCD,dimensity,4096.0,131072.0,5000.0,android,2592000.0,4950,5.0,0,108.0
6.55,AMOLED,snapdragon,12288.0,262144.0,4500.0,android,2592000.0,12990,5.0,0,108.0
6.52,PLS TFT LCD,helio,3072.0,32768.0,2406.0,ios,1152000.0,3190,5.0,0,108.0
6.4,AMOLED,mediatek helio,6144.0,131072.0,5000.0,android,1152000.0,4700,5.0,0,108.0
6.43,AMOLED,helio,8192.0,131072.0,4310.0,android,2592000.0,5690,5.0,0,108.0
6.52,IPS LCD,unisoc,3072.0,65536.0,5050.0,android,1152000.0,2890,5.0,0,108.0
6.7,AMOLED,exynos,8192.0,131072.0,4800.0,android,2592000.0,16990,5.0,0,108.0
6.1,OLED,apple,6144.0,262144.0,3095.0,ios,2962440.0,29950,5.0,0,108.0
6.5,IPS LCD,mediatek helio,4096.0,65536.0,5000.0,android,1152000.0,4290,5.0,0,108.0
6.56,IPS LCD,snapdragon,6144.0,131072.0,5000.0,android,1160640.0,5390,5.0,0,108.0
6.9,AMOLED,exynos,8192.0,262144.0,4500.0,android,4446720.0,19200,5.0,0,108.0
6.81,AMOLED,snapdragon,8192.0,262144.0,4600.0,android,4608000.0,15200,5.0,0,108.0
6.1,AMOLED,snapdragon,8192.0,262144.0,3700.0,android,2527200.0,22190,5.0,0,108.0
6.51,IPS LCD,helio,4096.0,65536.0,5000.0,android,1152000.0,3500,5.0,0,108.0
6.6,IPS LCD,snapdragon,6144.0,131072.0,2406.0,android,2604960.0,5790,5.0,0,108.0
6.44,AMOLED,mediatek helio,8192.0,131072.0,4050.0,android,2592000.0,6790,5.0,0,108.0
6.7,PLS TFT LCD,exynos,8192.0,131072.0,4500.0,android,2462400.0,10500,5.0,0,108.0
6.4,AMOLED,mediatek dimensity,8192.0,131072.0,4500.0,android,2592000.0,8990,5.0,0,108.0
6.7,AMOLED,exynos,8192.0,131072.0,4500.0,android,4608000.0,15500,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,4310.0,android,2592000.0,7790,5.0,0,108.0
6.43,AMOLED,snapdragon,8192.0,131072.0,4500.0,android,2592000.0,7690,5.0,0,108.0
6.52,IPS LCD,unisoc,2048.0,16384.0,2950.0,ios,1152000.0,1790,5.0,0,108.0
6.22,IPS LCD,mediatek,3072.0,32768.0,4230.0,android,1094400.0,3290,5.0,0,108.0
6.67,IPS LCD,snapdragon,4096.0,65536.0,5020.0,android,2592000.0,4450,5.0,0,108.0
6.56,AMOLED,dimensity,12288.0,262144.0,4450.0,android,2566080.0,16990,5.0,0,108.0
6.7,AMOLED,snapdragon,8192.0,131072.0,5000.0,android,2592000.0,9690,5.0,0,108.0
6.52,IPS LCD,mediatek,4096.0,65536.0,6000.0,android,1152000.0,2750,5.0,0,108.0
7.6,PLS TFT LCD,snapdragon,12288.0,262144.0,4500.0,android,3903744.0,23000,5.0,0,108.0
6.4,AMOLED,exynos,8192.0,262144.0,4500.0,ios,2592000.0,13650,5.0,0,108.0
5.5,IPS LCD,apple,3072.0,131072.0,2691.0,ios,2073600.0,13920,5.0,0,108.0
6.7,AMOLED,snapdragon,12288.0,262144.0,4500.0,android,4631040.0,18790,5.0,0,108.0
6.58,PLS TFT LCD,mediatek helio,8192.0,131072.0,5000.0,android,2600640.0,5900,5.0,0,108.0
6.82,IPS LCD,snapdragon,2048.0,32768.0,6000.0,android,1152000.0,2390,5.0,0,108.0
